CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,F1_dif,early_dbeta,later_dbeta,dbate_dif
cg15593510,-0.294898414,0.575411059,-11.37173008,4.42e-27,1.76e-25,50.23708044,0.843789831,0.548891417,-0.294898414,1,158369112,F,II,OR10T2,1stExon,opensea,1stExon-opensea,,,,,,,-0.344036203,hypo,0.76,0.921775899,0.830508475,-0.091267424,-0.325769271,-0.352795785,0.027026514
cg07429087,-0.280911829,0.525507263,-10.64133891,3.42e-24,9.219999999999999e-23,43.63799185,0.781157237,0.500245408,-0.280911829,5,151771606,R,II,NMUR2,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.315416233,hypo,0.71,0.921775899,0.860869565,-0.060906333,-0.307538627,-0.319193798,0.011655171
cg02854396,-0.282191721,0.564162691,-11.16598608,2.96e-26,1.05e-24,48.34994764,0.820977458,0.538785737,-0.282191721,12,72696687,F,II,TRHDE,Body,opensea,Body-opensea,,,True,,,,-0.300332433,hypo,0.74,0.921775899,0.81512605,-0.106649848,-0.28413809,-0.308098141,0.023960051
cg21263710,-0.272665872,0.535439701,-11.49743137,1.3700000000000001e-27,5.850000000000001e-26,51.40057823,0.783585261,0.510919389,-0.272665872,18,49865488,F,II,DCC,TSS1500,shelf,TSS1500-shelf,chr18:49868377-49868759,,,,,,-0.285275358,hypo,0.7,0.921443737,0.911504425,-0.009939312,-0.284092091,-0.285842773,0.001750682
cg06968859,-0.282158617,0.372848988,-10.97890058,1.64e-25,5.2299999999999995e-24,46.6529259,0.629633629,0.347475011,-0.282158617,2,80724209,F,II,CTNNA2,Body,opensea,Body-opensea,,,True,,,,-0.335069904,hypo,0.56,0.920168067,0.830508475,-0.089659593,-0.326407261,-0.341980875,0.015573614
cg12008047,-0.269662513,0.382546507,-12.4083485,2.24e-31,1.7100000000000001e-29,60.05909958,0.627958794,0.358296282,-0.269662513,19,18497143,F,I,GDF15,1stExon,island,1stExon-island,chr19:18497063-18497269,True,True,,rs16982331,,-0.300094001,hypo,0.52,0.920168067,0.846153846,-0.074014221,-0.287257203,-0.311889807,0.024632604
cg26904169,-0.26498623,0.474849012,-11.05304229,8.32e-26,2.78e-24,47.32326448,0.716005545,0.451019315,-0.26498623,7,89839865,R,II,STEAP2,TSS1500,shore,TSS1500-shore,chr7:89840813-89841491,,,,,,-0.293052722,hypo,0.63,0.920168067,0.846153846,-0.074014221,-0.279431378,-0.299584595,0.020153217
cg01520122,-0.275885187,0.651267631,-9.394442201,1.48e-19,2.36e-18,33.06191091,0.902342999,0.626457812,-0.275885187,17,32595801,F,II,CCL7,TSS1500,opensea,TSS1500-opensea,,,,,rs36231836,,-0.326547822,hypo,0.87,0.919831224,0.830508475,-0.089322749,-0.314724348,-0.332217559,0.017493211
cg04923532,-0.269234944,0.594539795,-10.6151607,4.3199999999999995e-24,1.15e-22,43.40676329,0.839562964,0.57032802,-0.269234944,16,4478627,F,II,DNAJA3,Body,shelf,Body-shelf,chr16:4475429-4476330,,,,,,-0.302411677,hypo,0.77,0.919831224,0.847457627,-0.072373597,-0.311887376,-0.297867774,-0.014019602
cg18099058,-0.258804817,0.564174425,-10.63010547,3.7799999999999996e-24,1.01e-22,43.53872231,0.799705427,0.54090061,-0.258804817,11,55737045,R,II,OR10AG1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.298177513,hypo,0.73,0.919831224,0.87826087,-0.041570354,-0.279891506,-0.306946241,0.027054735
cg10440696,-0.291209889,0.583709433,-10.47238607,1.53e-23,3.8e-22,42.15232184,0.848731382,0.557521493,-0.291209889,11,5809911,F,II,OR52N1,1stExon,opensea,1stExon-opensea,,,,,,,-0.330383383,hypo,0.79,0.919491525,0.81512605,-0.104365475,-0.31102711,-0.339665339,0.028638229
cg10161194,-0.276358349,0.568631443,-12.67017235,1.71e-32,1.57e-30,62.61768129,0.820137422,0.543779073,-0.276358349,19,3983180,R,I,EEF2,Body,island,Body-island,chr19:3982824-3983190,True,,,,,-0.321132867,hypo,0.72,0.919491525,0.81512605,-0.104365475,-0.305813556,-0.324108375,0.018294819
cg13557752,-0.276124475,0.524025433,-11.83873969,5.46e-29,2.8700000000000003e-27,54.59897391,0.77531857,0.499194095,-0.276124475,10,125448352,F,II,GPR26,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.3088162,hypo,0.68,0.919491525,0.862068966,-0.05742256,-0.30346041,-0.311384474,0.007924064
cg01841050,-0.266070336,0.542717934,-9.371284472,1.79e-19,2.83e-18,32.87432156,0.784861081,0.518790746,-0.266070336,17,39539863,F,II,KRT34,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.282017832,hypo,0.74,0.919148936,0.927927928,0.008778992,-0.259405933,-0.292860966,0.033455033
cg19864468,-0.282790542,0.500786886,-11.7214153,1.66e-28,8.150000000000001e-27,53.49315351,0.758146624,0.475356082,-0.282790542,2,113346566,R,II,CHCHD5,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.335417842,hypo,0.65,0.917547569,0.844827586,-0.072719983,-0.336258643,-0.33501983,-0.001238813
cg18310495,-0.284813665,0.358745461,-10.9073701,3.13e-25,9.639999999999999e-24,46.00894722,0.617946386,0.333132721,-0.284813665,10,125615419,R,II,CPXM2,Body,shore,Body-shore,chr10:125617057-125617329,,,,,,-0.317223227,hypo,0.53,0.917197452,0.894736842,-0.02246061,-0.323323463,-0.314297968,-0.009025495
cg01792749,-0.2626612,0.53674538,-10.12494222,3.17e-22,6.7700000000000004e-21,39.14760219,0.775785968,0.513124768,-0.2626612,3,38835179,R,II,SCN10A,Body,opensea,Body-opensea,,,,,,,-0.296240522,hypo,0.72,0.917197452,0.829059829,-0.088137623,-0.276869666,-0.305529471,0.028659805
cg07570113,-0.268605138,0.528213849,-9.870956272,2.79e-21,5.35e-20,36.99531455,0.772663849,0.504058711,-0.268605138,16,59790180,R,II,LOC644649,TSS1500,shore,TSS1500-shore,chr16:59788792-59789072,,,,,,-0.305301819,hypo,0.74,0.915611814,0.862068966,-0.053542849,-0.292681241,-0.311353792,0.018672551
cg09473613,-0.259127996,0.5829533,-9.8546329,3.2e-21,6.1e-20,36.85829448,0.818778418,0.559650422,-0.259127996,1,24152604,R,II,HMGCL,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.291891972,hypo,0.76,0.915611814,0.862068966,-0.053542849,-0.299413933,-0.28828495,-0.011128983
cg09305680,-0.287372482,0.410399601,-11.70432855,1.95e-28,9.480000000000001e-27,53.33265771,0.671929233,0.384556751,-0.287372482,8,117778069,R,II,UTP23,TSS1500,shore,TSS1500-shore,chr8:117778487-117779146,,,,,,-0.328322954,hypo,0.59,0.915254237,0.981481481,0.066227244,-0.315307267,-0.334564394,0.019257127
cg10908188,-0.275993515,0.543144397,-11.01195312,1.21e-25,3.94e-24,46.95140727,0.794318352,0.518324837,-0.275993515,3,56717798,R,II,C3orf63,TSS1500,shore,TSS1500-shore,chr3:56716492-56717658,,,,,,-0.30561714,hypo,0.7,0.914893617,0.862068966,-0.052824652,-0.296678749,-0.309903387,0.013224638
cg20018806,-0.261594198,0.577873321,-9.927260954,1.73e-21,3.39e-20,37.46915952,0.815942861,0.554348663,-0.261594198,11,59633874,R,II,TCN1,1stExon,opensea,1stExon-opensea,,,,,,,-0.29754931,hypo,0.74,0.914893617,0.81512605,-0.099767567,-0.27262532,-0.306742893,0.034117573
cg26231761,-0.269186475,0.651721954,-10.12298395,3.23e-22,6.88e-21,39.13086312,0.896701013,0.627514538,-0.269186475,1,4744796,R,II,AJAP1,Body,opensea,Body-opensea,,,True,,,,-0.288867604,hypo,0.85,0.914893617,0.829059829,-0.085833788,-0.293430618,-0.289810834,-0.003619784
cg18538751,-0.258176876,0.630807434,-10.67930818,2.4399999999999997e-24,6.7e-23,43.97403712,0.865766965,0.607590089,-0.258176876,2,233879149,R,II,NGEF,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.277357824,hypo,0.8,0.914893617,0.846153846,-0.068739771,-0.286337497,-0.273051782,-0.013285715
cg24360034,-0.298623605,0.500437653,-10.99213913,1.45e-25,4.67e-24,46.77240768,0.772206617,0.473583013,-0.298623605,11,124414205,R,II,OR8B12,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.335850928,hypo,0.68,0.912951168,0.87826087,-0.034690298,-0.311562551,-0.347497986,0.035935435
cg14817783,-0.284711039,0.620857115,-9.326407181,2.58e-19,4.01e-18,32.51175111,0.879964643,0.595253605,-0.284711039,2,170551745,F,II,PHOSPHO2,5'UTR,shore,5'UTR-shore,chr2:170550783-170551371,,,,,,-0.322355593,hypo,0.85,0.912951168,0.87826087,-0.034690298,-0.290934215,-0.337423154,0.046488939
cg16113347,-0.286015532,0.486782452,-11.55255746,8.16e-28,3.6e-26,51.91331016,0.747077163,0.461061631,-0.286015532,14,93899367,F,II,KIAA1409,5'UTR,shore,5'UTR-shore,chr14:93896736-93897466,,,,,,-0.318364731,hypo,0.66,0.912951168,0.87826087,-0.034690298,-0.30551226,-0.324527904,0.019015644
cg19520280,-0.278157624,0.53017538,-11.87670238,3.8000000000000003e-29,2.04e-27,54.95819228,0.783318829,0.505161205,-0.278157624,13,111032155,F,II,COL4A2,Body,opensea,Body-opensea,,,True,,rs58709564,,-0.313712519,hypo,0.7,0.912951168,0.81512605,-0.097825117,-0.314940136,-0.313123837,-0.001816299
cg07048608,-0.25823006,0.629108228,-8.985763639,4.01e-18,5.49e-17,29.801414,0.86411616,0.6058861,-0.25823006,1,158581040,F,II,SPTA1,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.297069901,hypo,0.83,0.912951168,0.862068966,-0.050882202,-0.268784779,-0.310633527,0.041848748
cg25244356,-0.269622366,0.49670563,-12.02052504,9.61e-30,5.65e-28,56.32526669,0.742081381,0.472459015,-0.269622366,7,90042240,R,II,CLDN12,Body,opensea,Body-opensea,,,,,,,-0.302116039,hypo,0.63,0.910638298,0.87826087,-0.032377428,-0.304403617,-0.301027372,-0.003376245
cg10919344,-0.263277224,0.494742177,-10.77425952,1.04e-24,2.9999999999999994e-23,44.81784057,0.734343392,0.471066168,-0.263277224,11,59210634,F,II,OR5A1,TSS200,opensea,TSS200-opensea,,,,,,,-0.292261582,hypo,0.66,0.910638298,0.81512605,-0.095512247,-0.269455376,-0.303197892,0.033742516
cg07222900,-0.338032202,0.529350458,-11.56069411,7.5599999999999995e-28,3.36e-26,51.98911692,0.836984081,0.498951879,-0.338032202,2,240279976,F,II,HDAC4,5'UTR,opensea,5'UTR-opensea,,,,,rs76433937,,-0.375548822,hypo,0.73,0.91025641,0.862068966,-0.048187445,-0.366845756,-0.379722222,0.012876466
cg15498306,-0.307207374,0.408081044,-12.18581377,1.9499999999999998e-30,1.2799999999999999e-28,57.90825549,0.687661855,0.380454482,-0.307207374,4,164534641,F,II,1-Mar,Body,opensea,Body-opensea,,,,,rs17043977,,-0.334264416,hypo,0.57,0.91025641,0.813559322,-0.096697088,-0.324064113,-0.33915579,0.015091677
cg08948808,-0.294282647,0.528887534,-10.44889583,1.88e-23,4.62e-22,41.94701989,0.796705914,0.502423267,-0.294282647,1,152942003,R,II,SPRR4,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.326465443,hypo,0.71,0.91025641,0.831932773,-0.078323637,-0.344469595,-0.317831873,-0.026637722
cg09857273,-0.276854831,0.584478152,-10.65203235,3.11e-24,8.429999999999999e-23,43.73255377,0.836435965,0.559581134,-0.276854831,8,95230984,R,II,CDH17,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.307161468,hypo,0.77,0.91025641,0.928571429,0.018315018,-0.295800647,-0.312609347,0.0168087
cg25730098,-0.271459607,0.587286157,-9.365210933,1.88e-19,2.97e-18,32.82517847,0.834333929,0.562874322,-0.271459607,19,56346628,F,II,NLRP11,5'UTR,opensea,5'UTR-opensea,,,,,,,-0.317224393,hypo,0.78,0.908315565,0.862068966,-0.0462466,-0.307977619,-0.321658519,0.0136809
cg07196505,-0.327048402,0.493308527,-11.89536564,3.18e-29,1.7300000000000003e-27,55.13504226,0.790946101,0.463897699,-0.327048402,16,7565837,R,II,A2BP1,Body,shelf,Body-shelf,chr16:7568195-7568413,,,,,,-0.362592185,hypo,0.67,0.907922912,0.894736842,-0.01318607,-0.343519623,-0.371738092,0.028218469
cg04923174,-0.315607049,0.538219937,-11.63129631,3.89e-28,1.8e-26,52.64826302,0.825445057,0.509838008,-0.315607049,1,158549277,F,II,OR10X1,1stExon,opensea,1stExon-opensea,,,,,,rs41273507,-0.358475772,hypo,0.71,0.907922912,0.862068966,-0.045853947,-0.336243424,-0.369136898,0.032893474
cg08641706,-0.290268363,0.580353921,-10.23470911,1.23e-22,2.7400000000000004e-21,40.08942292,0.844519014,0.554250651,-0.290268363,2,105069200,R,II,LOC150568,Body,opensea,Body-opensea,,,,,,,-0.314799177,hypo,0.78,0.907922912,0.846153846,-0.061769066,-0.306062663,-0.318988617,0.012925954
cg23724738,-0.260399323,0.571574667,-9.807784263,4.76e-21,8.9e-20,36.46592713,0.808556785,0.548157462,-0.260399323,1,152538380,R,II,LCE3E,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.301863185,hypo,0.74,0.906382979,0.830508475,-0.075874504,-0.288545163,-0.308249605,0.019704442
cg25644015,-0.287545681,0.490265124,-12.09524738,4.68e-30,2.9e-28,57.03933291,0.75195238,0.464406699,-0.287545681,6,31848099,F,II,EHMT2,Body,opensea,Body-opensea,,,,,rs35521607,,-0.32801275,hypo,0.63,0.905982906,0.830508475,-0.075474431,-0.318166994,-0.327841308,0.009674314
cg26127166,-0.279266243,0.475664404,-10.47437517,1.4999999999999997e-23,3.74e-22,42.16972052,0.729816776,0.450550533,-0.279266243,9,116812388,F,II,ZNF618,Body,island,Body-island,chr9:116811338-116812389,,,,,,-0.31330585,hypo,0.63,0.903640257,0.87826087,-0.025379387,-0.299301035,-0.323009956,0.023708921
cg06614284,-0.261094192,0.464294054,-11.2841207,9.95e-27,3.76e-25,49.43086683,0.701908552,0.44081436,-0.261094192,20,30689432,F,II,HCK,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.286535891,hypo,0.6,0.903640257,0.81512605,-0.088514207,-0.280515454,-0.289422884,0.00890743
cg02735829,-0.267354747,0.537517743,-9.781665597,5.930000000000001e-21,1.1e-19,36.24774932,0.780829797,0.51347505,-0.267354747,5,180167566,R,II,OR2Y1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.316714424,hypo,0.72,0.901709402,0.846153846,-0.055555556,-0.312695564,-0.318641597,0.005946033
cg18187729,-0.27733555,0.50301915,-10.44222413,2e-23,4.89e-22,41.88876638,0.755414453,0.478078903,-0.27733555,8,133117493,F,II,HHLA1,1stExon,opensea,1stExon-opensea,,,,,,,-0.310587511,hypo,0.69,0.901287554,0.87826087,-0.023026684,-0.291908741,-0.319544581,0.02763584
cg14514991,-0.288584715,0.5204916,-10.8928174,3.57e-25,1.0899999999999999e-23,45.87826415,0.783124452,0.494539737,-0.288584715,1,158737820,R,II,OR6N1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.325088864,hypo,0.68,0.900862069,0.830508475,-0.070353594,-0.305305538,-0.334575605,0.029270067
cg08273233,-0.277494268,0.53053936,-11.28524698,9.850000000000001e-27,3.72e-25,49.44120654,0.783079108,0.505584839,-0.277494268,6,87724979,R,II,HTR1E,5'UTR,opensea,5'UTR-opensea,,,,,,,-0.301105144,hypo,0.69,0.898924731,0.81512605,-0.083798681,-0.289924378,-0.30646668,0.016542302
cg06338958,-0.276895218,0.589941197,-11.1903914,2.3600000000000002e-26,8.48e-25,48.57266615,0.841935766,0.565040548,-0.276895218,16,1489061,R,II,CCDC154,Body,shore,Body-shore,chr16:1487017-1487260,,,,,,-0.317966294,hypo,0.73,0.898488121,0.813559322,-0.084928799,-0.306482482,-0.323473152,0.01699067
cg26014409,-0.306672212,0.477712327,-11.03948913,9.420000000000001e-26,3.12e-24,47.20051039,0.756806103,0.450133891,-0.306672212,1,158324471,R,II,CD1E,Body,opensea,Body-opensea,,,,,,,-0.35844246,hypo,0.65,0.896551724,0.862068966,-0.034482759,-0.338302854,-0.368100049,0.029797195
cg24846807,-0.258213958,0.604966582,-10.00492085,8.9e-22,1.8e-20,38.12580602,0.839959861,0.581745903,-0.258213958,1,75043066,R,II,C1orf173,Body,opensea,Body-opensea,,,,,,,-0.300640134,hypo,0.76,0.896551724,0.830508475,-0.06604325,-0.285199373,-0.308044475,0.022845102
cg10962805,-0.269977034,0.567031167,-11.99691198,1.2000000000000001e-29,6.98e-28,56.1001531,0.812729691,0.542752656,-0.269977034,2,125672110,R,II,CNTNAP5,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.281981787,hypo,0.71,0.895652174,0.829059829,-0.066592345,-0.281030646,-0.28243789,0.001407244
cg04744713,-0.309883228,0.528988519,-10.0456627,6.28e-22,1.29e-20,38.47171545,0.81100455,0.501121322,-0.309883228,8,142517440,R,II,FLJ43860,TSS200,opensea,TSS200-opensea,,,,,,,-0.338282551,hypo,0.73,0.891304348,0.813559322,-0.077745026,-0.358792671,-0.328447288,-0.030345383
cg02988312,-0.284127828,0.608433439,-9.286324562,3.58e-19,5.47e-18,32.18899025,0.867010203,0.582882375,-0.284127828,4,1342161,R,I,KIAA1530,Body,shore,Body-shore,chr4:1340107-1341471,,,,,,-0.316723398,hypo,0.81,0.891304348,0.830508475,-0.060795873,-0.290394615,-0.329348897,0.038954282
cg27291231,-0.27376779,0.508915503,-12.83203386,3.43e-33,3.54e-31,64.21412765,0.758063888,0.484296098,-0.27376779,9,140081916,F,II,ANAPC2,Body,shore,Body-shore,chr9:140082465-140083853,,,,,,-0.295956562,hypo,0.62,0.891304348,0.862068966,-0.029235382,-0.284759498,-0.305642252,0.020882754
cg10176692,-0.267168503,0.463360181,-11.42194336,2.7700000000000003e-27,1.13e-25,50.70090844,0.706502739,0.439334236,-0.267168503,11,48238296,F,II,OR4B1,TSS200,opensea,TSS200-opensea,,,,,,rs1566737,-0.292601875,hypo,0.58,0.891304348,0.81512605,-0.076178297,-0.290879507,-0.293427806,0.002548299
cg15685941,-0.264322842,0.543268473,-11.39584124,3.53e-27,1.4199999999999999e-25,50.45964086,0.783821276,0.519498434,-0.264322842,3,52723104,F,II,GNL3,Body,shelf,Body-shelf,chr3:52719934-52720335,,,,,,-0.294723506,hypo,0.66,0.886462882,0.830508475,-0.055954408,-0.288236483,-0.297834242,0.009597759
cg17514199,-0.272346466,0.496743852,-10.13189252,2.99e-22,6.4e-21,39.20703051,0.744598729,0.472252263,-0.272346466,1,238051451,R,II,LOC100130331,Body,opensea,Body-opensea,,,,,,,-0.306328688,hypo,0.66,0.885032538,0.894736842,0.009704304,-0.292557862,-0.312932241,0.020374379
cg16993682,-0.26759864,0.41441167,-10.24756856,1.1e-22,2.4600000000000003e-21,40.20021347,0.657945684,0.390347044,-0.26759864,1,158259268,F,II,CD1C,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.303187476,hypo,0.56,0.884026258,0.831932773,-0.052093485,-0.290704678,-0.309173379,0.018468701
cg17315844,-0.267498838,0.641927381,-9.277807201,3.84e-19,5.84e-18,32.12053593,0.885370568,0.61787173,-0.267498838,5,10249113,R,II,FAM173B,Body,shore,Body-shore,chr5:10249760-10251000,,,,,,-0.300152102,hypo,0.82,0.876651982,0.830508475,-0.046143508,-0.249867665,-0.324265106,0.074397441
cg23564432,-0.264515658,0.562907411,-9.261661768,4.38e-19,6.62e-18,31.99090062,0.80363569,0.539120032,-0.264515658,8,3253958,R,II,CSMD1,Body,opensea,Body-opensea,,,,,,,-0.304724142,hypo,0.71,0.871681416,0.830508475,-0.041172941,-0.308592532,-0.302869124,-0.005723408
cg09994356,0.458274658,0.522550679,14.91504966,1.4999999999999998e-42,8.61e-40,85.65202501,0.105487771,0.563762428,0.458274658,20,42875779,R,I,GDAP1L1,TSS200,island,TSS200-island,chr20:42875764-42876184,True,,,,,0.491476505,hyper,0.14,0.973843058,0.964467005,-0.009376053,0.484162209,0.522475006,-0.038312797
cg00349607,0.384334453,0.51714262,13.7388458,3.5e-37,7.300000000000001e-35,73.35364556,0.167370617,0.551705071,0.384334453,1,39546688,R,I,MACF1,TSS1500,shore,TSS1500-shore,chr1:39547013-39547959,True,,,,,0.436877342,hyper,0.17,0.972,0.97029703,-0.00170297,0.427514251,0.458281123,-0.030766872
cg20883831,0.462837739,0.543041064,16.14435613,2.3699999999999998e-48,4.21e-45,98.95533661,0.121825424,0.584663163,0.462837739,7,150652948,F,I,KCNH2,TSS200,island,TSS200-island,chr7:150652807-150653080,True,True,high-CpG:150283794-150283891,,,0.553790152,hyper,0.16,0.97188755,0.96969697,-0.002190581,0.530696054,0.570579588,-0.039883534
cg06428620,0.455648394,0.597538829,15.29143975,2.63e-44,2.13e-41,89.68062138,0.182866011,0.638514404,0.455648394,5,140864276,R,II,PCDHGA4,Body,shore,Body-shore,chr5:140864527-140864748,,True,,,rs79019286,0.518995862,hyper,0.19,0.97188755,0.95049505,-0.021392501,0.490705389,0.535930282,-0.045224893
cg16260298,0.440477513,0.540672944,16.4909963,5.11e-50,1.32e-46,102.7772927,0.139806718,0.580284231,0.440477513,7,116140342,F,II,CAV2,Body,island,Body-island,chr7:116139774-116140352,True,,,,,0.518921037,hyper,0.22,0.97188755,0.953846154,-0.018041396,0.503600926,0.528957487,-0.025356561
cg24033558,0.423071661,0.579939945,20.19649747,2.04e-68,3.84e-63,145.0009546,0.194914296,0.617985957,0.423071661,15,45479755,R,I,SHF,Body,island,Body-island,chr15:45479509-45480498,True,,,,,0.502369931,hyper,0.34,0.97188755,0.96969697,-0.002190581,0.497079229,0.503497305,-0.006418076
cg24013620,0.398142935,0.525558254,15.5964511,9.609999999999999e-46,1.0399999999999998e-42,92.97504982,0.163219539,0.561362475,0.398142935,8,144798688,F,I,MAPK15,Body,island,Body-island,chr8:144798487-144799038,,True,,,,0.478020512,hyper,0.2,0.97188755,0.96969697,-0.002190581,0.453884999,0.515582582,-0.061697583
cg13482308,0.389731047,0.476278128,16.36497548,2.07e-49,4.72e-46,101.3845419,0.121594837,0.511325884,0.389731047,9,37002685,R,I,PAX5,Body,island,Body-island,chr9:37002489-37002957,,,,,,0.462908637,hyper,0.16,0.971774194,0.97,-0.001774194,0.442122975,0.47281212,-0.030689145
cg22262168,0.396932113,0.580873551,14.26168819,1.52e-39,4.920000000000001e-37,78.76302268,0.219636772,0.616568885,0.396932113,9,27528999,R,II,MOBKL2B,5'UTR,island,5'UTR-island,chr9:27528976-27529885,,,,,,0.509712229,hyper,0.19,0.97005988,0.922279793,-0.047780087,0.500980052,0.513870577,-0.012890525
cg08843517,0.452742099,0.626869579,17.99178091,2.33e-57,2.58e-53,119.6184941,0.214841698,0.667583797,0.452742099,16,88717464,F,I,CYBA,TSS200,island,TSS200-island,chr16:88716989-88717606,,,high-CpG:87244919-87245004,rs72550704,,0.542396344,hyper,0.29,0.96993988,0.964467005,-0.005472875,0.527943907,0.555620595,-0.027676688
cg14130039,0.431070513,0.582808576,15.17480868,9.24e-44,6.7e-41,88.42783788,0.190503396,0.62157391,0.431070513,6,32121225,R,II,PPT2,TSS200,shore,TSS200-shore,chr6:32121829-32122529,,,,,,0.508970194,hyper,0.21,0.96993988,0.964467005,-0.005472875,0.501779502,0.520663231,-0.018883729
cg27223047,0.398303501,0.62881197,14.07058172,1.1199999999999999e-38,3.09e-36,76.77467879,0.266327129,0.66463063,0.398303501,5,127874825,F,II,FBN2,TSS1500,island,TSS1500-island,chr5:127872563-127874945,,,,rs55770077,,0.46711309,hyper,0.3,0.96993988,0.942408377,-0.027531503,0.445498001,0.47440051,-0.028902509
cg15523958,0.375207644,0.49842111,13.80283632,1.81e-37,4e-35,74.01046808,0.15695516,0.532162805,0.375207644,2,43864929,F,II,PLEKHH2,5'UTR,island,5'UTR-island,chr2:43864322-43864956,,,,,,0.431306214,hyper,0.17,0.96993988,0.953846154,-0.016093726,0.424730447,0.440120866,-0.015390419
cg16332610,0.448924064,0.644556976,18.70762821,6.41e-61,1.4200000000000001e-56,127.791206,0.236003781,0.684927845,0.448924064,15,74658547,F,II,CYP11A1,1stExon,island,1stExon-island,chr15:74658038-74658574,,True,,,,0.536388341,hyper,0.38,0.969818913,0.948453608,-0.021365305,0.520997474,0.545628294,-0.02463082
cg12627583,0.438785201,0.552056092,15.4359162,5.4999999999999997e-45,5.09e-42,91.23788422,0.152729992,0.591515192,0.438785201,2,201450731,R,II,AOX1,1stExon,island,1stExon-island,chr2:201450526-201451027,True,True,,,,0.53241768,hyper,0.18,0.969818913,0.95959596,-0.010222954,0.491402609,0.568281356,-0.076878747
cg07198194,0.418193306,0.539452539,18.43280484,1.5100000000000001e-59,2.7e-55,124.6444812,0.158866545,0.577059851,0.418193306,10,3109053,R,I,PFKP,TSS1500,island,TSS1500-island,chr10:3108650-3111419,,,,,,0.504579713,hyper,0.29,0.969818913,0.953846154,-0.01597276,0.505050834,0.507838928,-0.002788094
cg26213453,0.396586415,0.58287851,15.43188911,5.74e-45,5.3099999999999995e-42,91.1943981,0.221956341,0.618542756,0.396586415,15,89455860,F,II,MFGE8,Body,shore,Body-shore,chr15:89456224-89456830,,,,,,0.464752539,hyper,0.28,0.969818913,0.93814433,-0.031674584,0.439872401,0.484600689,-0.044728288
cg24530250,0.373224686,0.464980064,11.49677677,1.3800000000000002e-27,5.89e-26,51.39449886,0.125318749,0.498543435,0.373224686,11,71955599,R,I,PHOX2A,TSS1500,island,TSS1500-island,chr11:71954816-71955659,True,,,,,0.426155064,hyper,0.11,0.969818913,0.97,0.000181087,0.393865107,0.441639137,-0.04777403
cg20687242,0.434039699,0.581535262,15.27960063,2.98e-44,2.4e-41,89.55327381,0.18652791,0.620567609,0.434039699,12,54653427,F,II,CBX5,TSS200,opensea,TSS200-opensea,,True,,,,,0.532474576,hyper,0.26,0.967871486,0.953846154,-0.014025332,0.491609979,0.549166447,-0.057556468
cg04156293,0.395899983,0.546252972,13.86541168,9.46e-38,2.2100000000000002e-35,74.65420383,0.185955505,0.581855488,0.395899983,7,100488942,R,I,ACHE,Body,shore,Body-shore,chr7:100489981-100490365,,,,,,0.468009965,hyper,0.22,0.967871486,0.96969697,0.001825484,0.443467116,0.491114788,-0.047647672
cg22538054,0.428872583,0.516245198,16.21690383,1.0599999999999999e-48,2.05e-45,99.75285779,0.125940293,0.554812876,0.428872583,12,95941988,F,I,USP44,5'UTR,island,5'UTR-island,chr12:95941906-95942979,True,,,rs61939483,,0.511736954,hyper,0.18,0.967741935,0.98,0.012258065,0.503664063,0.520476583,-0.01681252
cg00800229,0.423759953,0.498647404,16.08532684,4.54e-48,7.63e-45,98.30737384,0.11299536,0.536755313,0.423759953,14,22004993,F,I,SALL2,1stExon,opensea,1stExon-opensea,,,True,,,,0.503361843,hyper,0.18,0.967741935,0.964467005,-0.00327493,0.487198528,0.513701279,-0.026502751
cg11574975,0.383056044,0.492316802,15.34238668,1.51e-44,1.28e-41,90.22908808,0.143708245,0.526764288,0.383056044,1,112058304,R,I,ADORA3,Body,island,Body-island,chr1:112058184-112058590,True,True,,,,0.453745335,hyper,0.16,0.967741935,0.985074627,0.017332691,0.410328792,0.476005218,-0.065676426
