CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1
cg18099058,-0.258804816909582,0.564174424558453,-10.6301054747951,3.77876168167187e-24,1.0136107226048899e-22,43.5387223121426,0.799705426997749,0.540900610088167,-0.258804816909582,11,55737045,R,II,OR10AG1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2981775125680139,hypo,0.73,0.9198312236286921
cg26110281,-0.304715104254277,0.560600952233999,-11.3594400542894,4.95221021686149e-27,1.9528786631387602e-25,50.1237488513979,0.837913619055339,0.533198514801061,-0.304715104254278,11,123885695,F,II,OR10G4,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3418604187578963,hypo,0.75,0.9330543933054394
cg20480740,-0.216743055955061,0.640477797978468,-8.02413972719997,6.11556467086515e-15,6.11239640542726e-14,22.5658747904401,0.837729571923182,0.620986515968121,-0.216743055955061,11,123899875,F,II,OR10G8,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.249794978397912,hypo,0.75,0.8221709006928407
cg15700197,-0.322175063882742,0.544264735270359,-11.5666259297099,7.1542239444923585e-28,3.1847767353422596e-26,52.044402544316,0.837467221465804,0.515292157583063,-0.322175063882741,1,159409207,F,II,OR10J1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.363603209238052,hypo,0.8,0.959349593495935
cg07037019,-0.257462578012336,0.663022780548556,-9.27848214626029,3.81696561795329e-19,5.814080291125259e-18,32.1259588166239,0.897332249027409,0.639869671015072,-0.257462578012336,1,159506621,F,II,OR10J5,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2868219374576963,hypo,0.89,0.9421487603305785
cg25940557,-0.253557801849747,0.506981299668417,-10.4516098999772,1.83733439594335e-23,4.51833171934807e-22,41.9707247787097,0.737737140920167,0.484179339070418,-0.253557801849748,1,158575177,F,II,OR10Z1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2693620836310064,hypo,0.66,0.9106382978723404
cg03271520,-0.230888608650706,0.576669932744619,-8.97068001367155,4.5159881196457795e-18,6.15265927698672e-17,29.6831297403362,0.786795177308031,0.555906568657325,-0.230888608650706,17,3100171,F,II,OR1A2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2707655040951386,hypo,0.72,0.8771929824561403
cg02499925,-0.222948350925938,0.576140683167983,-8.19114165430874,1.79029967668064e-15,1.88497296427651e-14,23.7768658066658,0.779039721960294,0.556091371034355,-0.222948350925939,17,3031618,R,II,OR1G1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2712084277916927,hypo,0.74,0.8845315904139434
cg21025142,-0.22831386850105,0.5206643713047,-8.71077877937906,3.4701001708408804e-17,4.31988429772069e-16,27.6684908390377,0.728446417098821,0.500132548597771,-0.22831386850105,11,6914389,R,II,OR2D2,TSS1500,opensea,TSS1500-opensea,,,,,,rs78911462,-0.2402377032700863,hypo,0.67,0.8850325379609545
cg02735829,-0.267354746694046,0.537517743163941,-9.78166559715262,5.9272987853808105e-21,1.09721962286778e-19,36.2477493245788,0.780829796809962,0.513475050115916,-0.267354746694046,5,180167566,R,II,OR2Y1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3167144242717909,hypo,0.72,0.9017094017094016
cg10176692,-0.267168502520243,0.463360180731006,-11.4219433550242,2.7687527676938798e-27,1.13342615339529e-25,50.7009084379343,0.706502738780004,0.439334236259761,-0.267168502520243,11,48238296,F,II,OR4B1,TSS200,opensea,TSS200-opensea,,,,,,rs1566737,-0.2926018749029529,hypo,0.58,0.8913043478260869
cg20181079,-0.237941797599741,0.637838569384479,-8.47378579024124,2.14359787213907e-16,2.4681915878189306e-15,25.8707320518657,0.854382723315178,0.616440925715438,-0.237941797599741,11,59270409,F,II,OR4D11,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2818588459958174,hypo,0.83,0.9087048832271761
cg14269191,-0.284632033448866,0.600030255745674,-9.72058783210383,9.90726718258106e-21,1.78949656732423e-19,35.739151392459,0.859065883308851,0.574433849859984,-0.284632033448867,11,5346249,R,II,OR51B2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3297560838280097,hypo,0.84,0.9285714285714286
cg19554569,-0.257507639110431,0.608038787490982,-9.0733709517145,1.99364490833449e-18,2.81559870388159e-17,30.4913438903648,0.842389264810907,0.584881625700476,-0.257507639110431,11,5364833,R,II,OR51B5,TSS200,opensea,TSS200-opensea,,,True,,,rs12806253,-0.3002365503510066,hypo,0.78,0.8941684665226782
cg24803687,-0.289414675443919,0.537514371367339,-10.4173480859993,2.48403415138858e-23,6.02091403854867e-22,41.6717831856172,0.800902547220977,0.511487871777058,-0.289414675443919,11,5462916,R,II,OR51I1,TSS200,opensea,TSS200-opensea,,,,,rs1498487,,-0.3257837162750457,hypo,0.75,0.9266247379454926
cg27093637,-0.253963022141504,0.641452456959701,-9.38846010511657,1.5562700026989802e-19,2.4750294008576e-18,33.0134207113579,0.872577077829487,0.618614055687983,-0.253963022141503,11,5410452,F,II,OR51M1,TSS200,opensea,TSS200-opensea,,,,,,,-0.2945197639128896,hypo,0.87,0.9508196721311476
cg22812280,-0.228835802818429,0.651607415269405,-8.26305737298287,1.04862299163182e-15,1.12832769661313e-14,24.3043798387257,0.859864458841572,0.631028656023144,-0.228835802818428,11,5173605,F,II,OR52A1,TSS200,opensea,TSS200-opensea,,,,,,,-0.2751567515262903,hypo,0.87,0.9404517453798769
cg27480913,-0.2879785060826,0.506292233247161,-11.2660746208014,1.17604870094415e-26,4.4027803914687305e-25,49.265284574235,0.768373391660463,0.480394885577863,-0.2879785060826,11,6008246,F,II,OR52L1,TSS200,opensea,TSS200-opensea,,,,,,,-0.3241693862475687,hypo,0.71,0.9355509355509356
cg18512262,-0.214546001950656,0.600463303198107,-8.57554042919124,9.85337773895454e-17,1.17239862492359e-15,26.6379640315401,0.795715599937374,0.581169597986717,-0.214546001950656,11,6049729,R,II,OR56A1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2508596677134188,hypo,0.75,0.8917748917748918
cg25451456,-0.292061216375087,0.574959565568002,-10.4319477278551,2.18465733629232e-23,5.32891793554984e-22,41.799087554945,0.840756284067632,0.548695067692545,-0.292061216375087,11,5967520,R,II,OR56A3,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3282733910003967,hypo,0.82,0.9529652351738241
cg24949579,-0.215559398415516,0.572986377664232,-8.17270507227772,2.05226449434183e-15,2.1488829750170305e-14,23.6422121962342,0.76916093809274,0.553601539677225,-0.215559398415515,11,6024966,F,II,OR56A4,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2501008513454186,hypo,0.71,0.8840262582056894
cg10919344,-0.263277223882665,0.494742177215109,-10.7742595222948,1.0403746717146e-24,2.99702629899936e-23,44.8178405706206,0.734343391755808,0.471066167873143,-0.263277223882665,11,59210634,F,II,OR5A1,TSS200,opensea,TSS200-opensea,,,,,,,-0.2922615824539021,hypo,0.66,0.9106382978723404
cg21052687,-0.229639029804182,0.409461508102806,-11.0200319463751,1.1249489618025e-25,3.67722151511783e-24,47.0244506673714,0.618449546018122,0.38881051621394,-0.229639029804182,11,55561545,F,II,OR5D14,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2311486503515888,hypo,0.51,0.8913043478260869
cg13869366,-0.294868418684521,0.4479575359703,-11.0602647385186,7.79269300616059e-26,2.6086937821522e-24,47.388719139476,0.716309010528514,0.421440591843994,-0.29486841868452,11,7869666,R,II,OR5E1P,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3230862331421558,hypo,0.67,0.9313929313929313
cg16226642,-0.292549503201451,0.532453930210116,-11.3425129410158,5.79482324657141e-27,2.2645076134584e-25,49.9677815716504,0.798695024850287,0.506145521648835,-0.292549503201452,11,7847876,F,II,OR5P3,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.327574529253381,hypo,0.71,0.9171974522292994
cg03780486,-0.249227934555063,0.664196979146621,-9.46315149674448,8.426025741082181e-20,1.37726495217406e-18,33.6204634001966,0.891012329658962,0.641784395103899,-0.249227934555063,11,6817280,F,II,OR6A2,TSS200,opensea,TSS200-opensea,,,,,rs2741742,,-0.2765664303205385,hypo,0.85,0.9285714285714286
cg09358376,-0.221843175150174,0.565643183104071,-7.80816520757477,2.91012088746473e-14,2.7258970407306897e-13,21.029158571405,0.767536432431388,0.545693257281214,-0.221843175150174,12,55639928,F,II,OR6C74,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.247792445274381,hypo,0.71,0.8571428571428571
cg02245566,-0.276479706737464,0.638530422147977,-9.2051615184609,6.913054177801283e-19,1.02430384142061e-17,31.5385504499095,0.890146845905453,0.61366713916799,-0.276479706737464,1,158670617,F,II,OR6K2,TSS200,opensea,TSS200-opensea,,,,,,,-0.3161674308705422,hypo,0.86,0.9221052631578948
cg08918576,-0.221248351335793,0.525939246553023,-8.27157230150028,9.84039546553741e-16,1.0618115520185e-14,24.367076825557,0.727291163416174,0.50604281208038,-0.221248351335794,1,158688775,R,II,OR6K3,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2547111810065254,hypo,0.63,0.8329519450800915
cg14514991,-0.28858471522787,0.520491600099116,-10.8928174048837,3.5718445354016703e-25,1.09309832704855e-23,45.8782641493522,0.783124452446782,0.494539737218911,-0.288584715227871,1,158737820,R,II,OR6N1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3250888643617146,hypo,0.68,0.9008620689655172
cg20778958,-0.237451170370947,0.317841678226574,-11.1335205094926,3.98512520835697e-26,1.38688624330244e-24,48.0541498930607,0.533939326082147,0.296488155711201,-0.237451170370946,1,158534679,R,II,OR6P1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2726892308942746,hypo,0.49,0.9399585921325052
cg06639544,-0.24019091630708,0.655376088976194,-8.42814919240958,3.03083382039057e-16,3.4375918399711604e-15,25.5289228106852,0.873967102737674,0.633776186430593,-0.24019091630708,19,14940319,F,II,OR7A5,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2765564342666728,hypo,0.88,0.9533468559837729
cg18044044,-0.225595642175193,0.611255258116197,-7.64452652040302,9.28328176648435e-14,8.27469321177142e-13,19.8872389642652,0.816563522397937,0.590967880222745,-0.225595642175193,19,9325552,F,II,OR7D4,TSS200,opensea,TSS200-opensea,,,,,,,-0.2456738523554265,hypo,0.75,0.8363636363636364
cg24360034,-0.298623604736821,0.500437653317585,-10.9921391322605,1.4503092971640901e-25,4.67094948326015e-24,46.772407677471,0.772206617340664,0.473583012603842,-0.298623604736822,11,124414205,R,II,OR8B12,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3358509279842003,hypo,0.68,0.9129511677282378
cg13012115,-0.242539369346087,0.64201564446444,-9.30535034931328,3.0678114715696904e-19,4.72151045107951e-18,32.3420668354176,0.862743919444871,0.620204550098785,-0.242539369346086,11,124254360,R,II,OR8B2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.271386384478546,hypo,0.8,0.8984881209503239
cg13563074,-0.286804354120484,0.304713836521555,-12.4028367239359,2.3649046189838402e-31,1.7944512750802998e-29,60.0055599201944,0.565726432177967,0.278922078057483,-0.286804354120484,11,7728814,F,II,OVCH2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3192141591908932,hypo,0.46,0.9217758985200845
cg11118778,-0.233812966216895,0.56602867564302,-8.40085561637786,3.7259082634247797e-16,4.1886962653649305e-15,25.3251809117623,0.7788152959771,0.545002329760205,-0.233812966216894,12,80086054,F,II,PAWR,TSS1500,shore,TSS1500-shore,chr12:80083531-80085154,,,,,,-0.2647579557108282,hypo,0.72,0.8820960698689956
cg08886154,-0.227089179933537,0.548257954340926,-9.55021874244603,4.10340240207706e-20,6.93744607528942e-19,34.3324646337638,0.754925445431519,0.527836265497982,-0.227089179933537,7,127256676,R,II,PAX4,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2540728256714398,hypo,0.71,0.9087048832271761
cg12686407,-0.241014834995967,0.644039946149117,-8.68106538250331,4.36890513977659e-17,5.38639299373944e-16,27.4410198511787,0.86338078519221,0.622365950196243,-0.241014834995967,11,104035942,F,II,PDGFD,TSS1500,shore,TSS1500-shore,chr11:104034536-104035058,,,,,,-0.2917648424655765,hypo,0.85,0.9201680672268908
cg22154859,-0.272785822139257,0.595085582456253,-10.9011126415374,3.31349474942785e-25,1.0178437921193e-23,45.9527414655191,0.843340305482267,0.570554483343011,-0.272785822139256,20,52823177,R,II,PFDN4,TSS1500,shore,TSS1500-shore,chr20:52824330-52825048,,,,,,-0.303667487761012,hypo,0.78,0.9330543933054394
cg06275635,-0.293707155077072,0.594447709675356,-10.7103599924649,1.84539777979379e-24,5.15747620345683e-23,44.2494454968515,0.861742350806649,0.568035195729576,-0.293707155077072,1,153283994,R,II,PGLYRP3,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3215537942810691,hypo,0.77,0.9102564102564102
cg01093088,-0.235622700957255,0.488484352533698,-9.75088748284494,7.68067305078156e-21,1.4051291602165302e-19,35.9911767194034,0.70291796167825,0.467295260720996,-0.235622700957255,1,153322488,R,II,PGLYRP4,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2675551583170484,hypo,0.62,0.8888888888888888
cg01267270,-0.257734253249051,0.397564027656994,-11.8421292756285,5.28818400472998e-29,2.78633230181995e-27,54.6310196672819,0.632120740146238,0.374386486897187,-0.257734253249051,5,125935359,F,II,PHAX,TSS1500,shore,TSS1500-shore,chr5:125936522-125937100,,,,,,-0.2776525579950027,hypo,0.49,0.869757174392936
cg25631489,-0.235194267294694,0.345218023420056,-11.2527970069976,1.32950371403174e-26,4.9399105653067605e-25,49.1435616204331,0.559261727109112,0.324067459814418,-0.235194267294694,3,169900020,R,II,PHC3,TSS1500,shore,TSS1500-shore,chr3:169898946-169899626,,,,,,-0.264086094208774,hypo,0.44,0.8791208791208791
cg27578754,-0.216413198144557,0.543202993981982,-10.3822107360103,3.38205638446449e-23,8.0681453526789e-22,41.3658882957542,0.74015457358836,0.523741375443803,-0.216413198144557,7,11012967,R,II,PHF14,TSS1500,shore,TSS1500-shore,chr7:11013426-11013888,,,,,,-0.2249485633214814,hypo,0.68,0.9182389937106917
cg07143805,-0.224148937758481,0.506399624889285,-10.0814721244451,4.61299966225312e-22,9.663308301898401e-21,38.7765499106467,0.710391284072363,0.486242346313882,-0.224148937758481,20,56286671,F,II,PMEPA1,TSS1500,shore,TSS1500-shore,chr20:56283891-56285395,,,,,,-0.2542185344137905,hypo,0.64,0.9110169491525424
cg27600794,-0.239062295988907,0.547696855289442,-10.2900650756766,7.57237496588653e-23,1.73314188966438e-21,40.567015402571,0.765260743365679,0.526198447376771,-0.239062295988908,10,118349430,F,II,PNLIPRP1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2658835239659198,hypo,0.74,0.9402061855670103
cg10243004,-0.274826506919562,0.442297067107619,-10.6966971139,2.08538552928188e-24,5.78734481442528e-23,44.1282002979848,0.692408960095565,0.417582453176003,-0.274826506919562,2,128616167,R,I,POLR2D,TSS1500,shore,TSS1500-shore,chr2:128615479-128616004,,,,,,-0.2921606470425306,hypo,0.53,0.8435374149659864
cg08340277,-0.228389829318245,0.462622904805396,-11.3251986918215,6.80421347260268e-27,2.63243431659861e-25,49.8083971721664,0.670474080407972,0.442084251089726,-0.228389829318245,10,79790139,R,II,POLR3A,TSS1500,shore,TSS1500-shore,chr10:79789138-79789441,,,,,,-0.2526323229212382,hypo,0.62,0.9311064718162839
cg23693487,-0.250671221611193,0.471829412737692,-10.8960968158572,3.4674002136613903e-25,1.06277765796031e-23,45.9077033767666,0.699958258304713,0.44928703669352,-0.250671221611192,8,30670746,F,II,PPP2CB,TSS1500,shore,TSS1500-shore,chr8:30669450-30670475,,,,,,-0.2822967035848716,hypo,0.62,0.9063829787234042
cg02330214,-0.225438118334667,0.557753830419058,-9.68486804585066,1.3365348599150101e-20,2.38084709017627e-19,35.4427569610652,0.76291873667327,0.537480618338602,-0.225438118334668,1,14026216,R,II,PRDM2,TSS1500,shore,TSS1500-shore,chr1:14026481-14027200,,,,,,-0.2437490485917945,hypo,0.7,0.905982905982906
cg15357945,-0.231179806595476,0.487770683940712,-10.5719998724518,6.335252281429711e-24,1.65109358125062e-22,43.0263538030675,0.698160939583358,0.466981132987882,-0.231179806595476,11,57158361,R,II,PRG2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.24718882213397,hypo,0.65,0.933609958506224
cg04354077,-0.239138931011796,0.607408697331029,-9.38910684154045,1.54804679744224e-19,2.46229894060442e-18,33.0186620035341,0.825042328791405,0.585903397779609,-0.239138931011796,20,5295137,R,II,PROKR2,TSS200,shore,TSS200-shore,chr20:5296266-5297798,,,,,,-0.2753458933994187,hypo,0.79,0.9090909090909091
cg17004025,-0.215405349401271,0.437257181460613,-11.0795518352782,6.53315700098457e-26,2.2074782913197402e-24,47.5636453709978,0.633291546203495,0.417886196802225,-0.21540534940127,19,840795,R,II,PRTN3,TSS200,shelf,TSS200-shelf,chr19:843468-844085,,,,,,-0.2321628179596415,hypo,0.5,0.8616071428571429
cg24109894,-0.227149299826555,0.569346895171159,-9.47761920823133,7.478901824095541e-20,1.23004295738999e-18,33.738449212342,0.776069099689571,0.548919799863015,-0.227149299826555,1,36108212,R,II,PSMB2,TSS1500,shore,TSS1500-shore,chr1:36106969-36107261,,,,,,-0.2364343600570768,hypo,0.65,0.8186046511627906
cg14874337,-0.229953410421952,0.570456294081279,-9.94440008458288,1.49204250027154e-21,2.94668407168175e-20,37.613771472597,0.779730440976077,0.549777030554125,-0.229953410421952,19,38864187,F,II,PSMD8,TSS1500,shore,TSS1500-shore,chr19:38865263-38865733,,,,,,-0.2581002106676457,hypo,0.7,0.8927038626609441
cg06353069,-0.339014566988379,0.511072976333513,-12.5830512854118,4.03473978973136e-32,3.47422586998371e-30,61.7630195600281,0.819600621830132,0.480586054841753,-0.339014566988379,2,238500081,F,II,RAB17,TSS1500,opensea,TSS1500-opensea,,True,,,,rs35869136,-0.37632281108073,hypo,0.74,0.9440993788819876
cg19622623,-0.220115876205475,0.499084158141034,-9.2567184694743,4.55446721289336e-19,6.87234613278736e-18,31.9512428062294,0.699405441162563,0.479289564957088,-0.220115876205474,12,86230825,R,II,RASSF9,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2201158762054742,hypo,0.58,0.824884792626728
cg01394116,-0.25287355844654,0.439558579243278,-10.9111234624165,3.02632582057797e-25,9.33288716559173e-24,46.0426706701169,0.669691709771963,0.416818151325423,-0.25287355844654,5,150081499,R,II,RBM22,TSS1500,shore,TSS1500-shore,chr5:150080131-150080703,,,,,,-0.2681356092823393,hypo,0.61,0.9201680672268908
cg03152913,-0.240716674781612,0.562616160312635,-9.89328579722162,2.30501773273931e-21,4.4604660055819705e-20,37.1830081905511,0.781685652110289,0.540968977328677,-0.240716674781612,2,178975712,R,II,RBM45,TSS1500,shore,TSS1500-shore,chr2:178977078-178977828,,,,,,-0.2844580123965284,hypo,0.69,0.8898488120950324
cg10720545,-0.219766593729476,0.380310292545699,-11.3550627721429,5.15765014721108e-27,2.0283648062215602e-25,50.0834024722947,0.580313703385834,0.360547109656358,-0.219766593729476,19,45504295,F,II,RELB,TSS1500,shore,TSS1500-shore,chr19:45504865-45505299,,,,,,-0.2525586915249783,hypo,0.57,0.9535353535353536
cg20441894,-0.220728465030428,0.67216704338659,-8.19462506379794,1.74465191558174e-15,1.83840337768592e-14,23.8023339958302,0.873045826309965,0.652317361279537,-0.220728465030428,3,108476163,F,II,RETNLB,TSS200,opensea,TSS200-opensea,,,,,rs10933959,rs11283797,-0.2489957455610354,hypo,0.89,0.9322381930184805
cg18244845,-0.234889084232676,0.389463219809713,-10.6812894014346,2.39337788328972e-24,6.58717336003371e-23,43.991593484534,0.603229184956717,0.368340100724041,-0.234889084232675,19,6111541,F,II,RFX2,TSS1500,shore,TSS1500-shore,chr19:6110066-6110878,,,,rs75712946,,-0.2595229198400881,hypo,0.52,0.9182389937106917
cg10292430,-0.271300909204486,0.48930803319404,-11.4859693254441,1.52317548339789e-27,6.46683481245574e-26,51.294158074839,0.736211378621144,0.464910469416658,-0.271300909204486,10,121297031,F,II,RGS10,TSS1500,opensea,TSS1500-opensea,,,True,,,,-0.3108070468623091,hypo,0.58,0.8766519823788546
cg07074042,-0.218785763251222,0.475560277799805,-10.5214825803905,9.91340861247517e-24,2.52537505894923e-22,42.5824150655323,0.674671062341384,0.455885299090163,-0.218785763251222,22,30783944,R,I,RNF215,TSS1500,shore,TSS1500-shore,chr22:30783010-30783620,,,,,,-0.2398443268928855,hypo,0.63,0.925
cg00202568,-0.214265562838244,0.56677766863043,-7.6038031102238,1.23534079564261e-13,1.08846378908291e-12,19.6060962999063,0.761774745601926,0.547509182763682,-0.214265562838244,8,55528166,R,II,RP1,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2577477554645928,hypo,0.69,0.8416289592760181
cg02078520,-0.234749557915963,0.608676697310496,-9.38617663529899,1.5856518456534402e-19,2.51955631269663e-18,32.9949170722223,0.822315683471427,0.587566125555464,-0.234749557915963,1,84944298,R,II,RPF1,TSS1500,shore,TSS1500-shore,chr1:84944932-84945350,,,,,,-0.2844825673234359,hypo,0.81,0.933609958506224
cg23082003,-0.223211157755322,0.584855469564618,-10.390900593816,3.13374071691188e-23,7.5086231858215e-22,41.4414747149528,0.787993681478634,0.564782523723312,-0.223211157755322,13,21713913,F,II,SAP18,TSS1500,shore,TSS1500-shore,chr13:21714289-21715115,,,,,,-0.2602210419815081,hypo,0.76,0.9510204081632653
cg05331214,-0.258277378737379,0.600117484669145,-8.49131513059978,1.8758820335391398e-16,2.1717685810973706e-15,26.0024015768812,0.835168480426544,0.576891101689165,-0.25827737873738,2,167343774,F,II,SCN7A,TSS1500,opensea,TSS1500-opensea,,,,,rs75836177,,-0.2838012122283609,hypo,0.76,0.8571428571428571
cg16232698,-0.249448298592788,0.515218513712636,-10.5621264326034,6.91540799316121e-24,1.7924838528780598e-22,42.9394762113739,0.742234411352836,0.492786112760047,-0.249448298592789,8,57233635,F,II,SDR16C5,TSS1500,shore,TSS1500-shore,chr8:57232370-57232795,,,,,,-0.2683567708944065,hypo,0.68,0.9333333333333335
cg14220224,-0.270872221540886,0.386859565767663,-12.0132786145964,1.02974686728182e-29,6.031385959921458e-28,56.2561557316853,0.633372774580052,0.362500553039166,-0.270872221540886,8,57309145,F,II,SDR16C6,TSS1500,opensea,TSS1500-opensea,,,,,rs77073830,,-0.3113539919236945,hypo,0.56,0.9266247379454926
cg02018326,-0.237932751706094,0.573195957418071,-9.93929427738045,1.5584018168463401e-21,3.07096828613839e-20,37.57067287045,0.789731878934769,0.551799127228674,-0.237932751706095,19,51670251,F,II,SIGLECP3,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2606644676114525,hypo,0.75,0.9288702928870294
cg27321439,-0.232839842927093,0.501477278896175,-9.39506454683905,1.47429166483711e-19,2.34935570895479e-18,33.0669568565912,0.713378287027667,0.480538444100574,-0.232839842927093,20,44656559,F,II,SLC12A5,TSS1500,shore,TSS1500-shore,chr20:44657463-44659243,True,,,rs6017727,,-0.2500387578237772,hypo,0.61,0.869757174392936
cg02659138,-0.226349142468626,0.462758148687537,-10.0713242949248,5.03368861102377e-22,1.0499549921879601e-20,38.6900885181167,0.668752152444956,0.44240300997633,-0.226349142468626,7,134003124,R,II,SLC35B4,TSS1500,shore,TSS1500-shore,chr7:134001207-134001982,,,,,,-0.2425204811384173,hypo,0.64,0.9278350515463918
cg01281718,-0.228156346425478,0.56536444485818,-9.80607511764853,4.8242367859844104e-21,9.02442444468831e-20,36.4516375427081,0.773003134231007,0.544846787805529,-0.228156346425478,6,71376634,R,II,SMAP1,TSS1500,shore,TSS1500-shore,chr6:71377385-71378178,,,,,,-0.2569234932984477,hypo,0.69,0.8903225806451612
cg09552123,-0.222393814527297,0.654886271096677,-8.68804219074726,4.13911669923714e-17,5.11515799828036e-16,27.4943777559488,0.857280641871519,0.634886827344222,-0.222393814527297,1,152849783,R,II,SMCP,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2559377699461298,hypo,0.81,0.8941684665226782
cg26306893,-0.251772282260383,0.349591806002658,-11.823973162925,6.28549380377246e-29,3.27285009889027e-27,54.4594321175469,0.578722695973438,0.326950413713055,-0.251772282260383,20,37074908,F,II,SNHG11,TSS1500,shore,TSS1500-shore,chr20:37075227-37075854,,,,,,-0.2752094522278893,hypo,0.46,0.8941684665226782
cg26876834,-0.342818981417641,0.392825380185703,-12.8458004263127,2.98790578144328e-33,3.12587623611755e-31,64.3504163155013,0.70481531651183,0.361996335094189,-0.342818981417641,16,2013573,F,I,SNHG9,TSS1500,shore,TSS1500-shore,chr16:2014164-2015451,,,,rs72764891,,-0.4034670549386205,hypo,0.65,0.951219512195122
cg00175153,-0.267793559646583,0.501574982328303,-13.1392936993648,1.5779613906607e-34,2.06986389460778e-32,67.2745533102444,0.74528638733041,0.477492827683826,-0.267793559646583,16,2012763,R,II,SNORA10,TSS1500,shore,TSS1500-shore,chr16:2014164-2015451,,,,,,-0.2995998338329007,hypo,0.66,0.9397089397089397
cg14557554,-0.244210246828987,0.504914368932164,-11.7800691958811,9.53895761896097e-29,4.8324852559132995e-27,54.0451603410753,0.727163262629049,0.482953015800061,-0.244210246828988,9,136217171,F,II,SNORD36C,TSS1500,shore,TSS1500-shore,chr9:136214430-136215760,,,,,,-0.2717903242452189,hypo,0.67,0.936082474226804
cg18305031,-0.228429347682397,0.651845944505527,-8.5679947895078,1.0440455531400799e-16,1.2392338139109102e-15,26.5808285880466,0.859733084662529,0.631303736980131,-0.228429347682398,19,3982603,F,II,SNORD37,TSS200,shore,TSS200-shore,chr19:3982824-3983190,,,,rs2305109,,-0.2734878570231581,hypo,0.84,0.9243697478991596
cg04547809,-0.231333775662067,0.679433246109813,-9.94518166578062,1.48213487655219e-21,2.9278856922564404e-20,37.620370235344,0.889963624679966,0.658629849017901,-0.231333775662065,19,51304161,R,II,SNORD88A,TSS1500,shelf,TSS1500-shelf,chr19:51307439-51308380,,,,,,-0.2570704025853341,hypo,0.79,0.8741721854304635
cg02423618,-0.222453781977681,0.580120871214728,-9.20584350254699,6.87507378670867e-19,1.01900446534108e-17,31.543998412021,0.782569816683624,0.560116034705943,-0.22245378197768,15,97325725,R,II,SPATA8,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2291675361138376,hypo,0.72,0.8736141906873615
cg24884084,-0.227897715940466,0.332492086319805,-11.8541279167292,4.71719204552533e-29,2.50371223686069e-27,54.7445010474565,0.539895403344762,0.311997687404296,-0.227897715940467,1,153003198,R,II,SPRR1B,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2635158048738509,hypo,0.46,0.9243697478991596
cg09169531,-0.227519519609639,0.625774273847395,-9.26640036406966,4.2104027766183203e-19,6.38364799330067e-18,32.0289307495669,0.832833405002929,0.605313885393291,-0.227519519609638,1,153030594,R,II,SPRR2A,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.2701444757605472,hypo,0.74,0.8666666666666667
cg07804289,-0.259797687478753,0.588644081667919,-9.31373536646918,2.8653374148803403e-19,4.4260080565184e-18,32.4096031087846,0.825078667754698,0.565280980275945,-0.259797687478753,1,153114690,R,II,SPRR2C,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.3020208114303191,hypo,0.76,0.8917748917748918
